rank,place_id,place_zh,place_en,country_zh,country_en,latitude,longitude,hour_count,mean_t2m_c,arrhenius_10c_equivalent_t_c,damage_index,damage_ratio_vs_kuwait_city,p95_t2m_c,p99_t2m_c,max_t2m_c,hours_ge_40c,hours_ge_45c
1,ahvaz,阿瓦士,Ahvaz,伊朗,Iran,31.3183,48.6706,87672,27.46,32.18,9.304069,1.168,47.5,50.39,54.1,14836,8114
2,jacobabad,雅各布阿巴德,Jacobabad,巴基斯坦,Pakistan,28.281,68.4388,87672,28.83,31.83,9.079876,1.14,43.73,46.83,51.59,11868,2578
3,basra,巴士拉,Basra,伊拉克,Iraq,30.5085,47.7804,87672,27.1,31.49,8.868985,1.114,45.99,48.85,52.73,13583,6009
4,jeddah,吉达,Jeddah,沙特阿拉伯,Saudi Arabia,21.4858,39.1925,87672,30.2,31.46,8.852328,1.112,40.53,43.07,48.39,5684,200
5,gao,加奥,Gao,马里,Mali,16.2717,-0.0447,87672,29.62,31.41,8.821474,1.108,41.39,44.07,47.6,6903,273
6,jizan_saudi,吉赞,Jizan,沙特阿拉伯,Saudi Arabia,16.8892,42.5511,87672,30.93,31.32,8.767297,1.101,36.59,38.08,42.58,45,0
7,mecca,麦加,Mecca,沙特阿拉伯,Saudi Arabia,21.3891,39.8579,87672,29.21,31.11,8.640557,1.085,41.95,44.96,48.66,8246,847
8,timbuktu,廷巴克图,Timbuktu,马里,Mali,16.7666,-3.0026,87672,29.16,31.05,8.602452,1.08,41.01,43.46,45.99,6400,89
9,al_hudaydah,荷台达,Al Hudaydah,也门,Yemen,14.7978,42.9545,87672,30.16,30.81,8.464879,1.063,37.7,39.4,43.43,363,0
10,assab,阿萨布,Assab,厄立特里亚,Eritrea,13.0092,42.7394,87672,29.83,30.59,8.33434,1.047,37.88,39.98,44.9,857,0
11,doha,多哈,Doha,卡塔尔,Qatar,25.2854,51.531,87672,28.33,30.59,8.334012,1.047,42.09,44.54,47.71,8530,543
12,ndjamena,恩贾梅纳,N'Djamena,乍得,Chad,12.1348,15.0557,87672,29.04,30.51,8.28697,1.041,40.56,43.32,46.63,5151,97
13,djibouti,吉布提市,Djibouti City,吉布提,Djibouti,11.5721,43.1456,87672,29.61,30.44,8.248708,1.036,38.65,40.53,43.19,1629,0
14,dubai,迪拜,Dubai,阿联酋,United Arab Emirates,25.2048,55.2708,87672,28.72,30.0,7.999405,1.005,38.66,40.8,45.15,1839,1
15,kuwait_city,科威特市,Kuwait City,科威特,Kuwait,29.3759,47.9774,87672,26.97,29.93,7.962874,1.0,41.63,44.09,48.49,7828,333
16,port_sudan,苏丹港,Port Sudan,苏丹,Sudan,19.6158,37.2164,87672,29.43,29.92,7.956999,0.999,35.56,37.3,41.06,12,0
17,abu_dhabi,阿布扎比,Abu Dhabi,阿联酋,United Arab Emirates,24.4539,54.3773,87672,28.6,29.8,7.892158,0.991,37.98,39.96,44.02,836,0
18,riyadh,利雅得,Riyadh,沙特阿拉伯,Saudi Arabia,24.7136,46.6753,87672,26.37,29.66,7.81608,0.982,42.88,45.14,47.83,9635,1037
19,aswan,阿斯旺,Aswan,埃及,Egypt,24.0889,32.8998,87672,26.47,29.61,7.788698,0.978,42.15,44.8,48.94,8837,738
20,turbat,图尔伯德,Turbat,巴基斯坦,Pakistan,26.0023,63.05,87672,26.93,29.45,7.702296,0.967,41.24,45.05,50.81,6409,903
21,furnace_creek,Furnace Creek,Furnace Creek,美国,United States,36.457,-116.8669,87672,19.79,23.97,5.267418,0.661,38.75,42.56,47.38,2987,107
